entityname,subtypename,typename
BlueJ,Free software programmed in Java (programming language),Linux software
BlueJ,Java development tools,Linux software
Password Safe,Java platform software,Linux software
Password Safe,Software that uses wxWidgets,Linux software
Desura,Software that uses wxWidgets,Linux software
WPS Office,Software that uses Qt,Linux software
Telegram (software),Software that uses Qt,Linux software
KWin,KDE Software Compilation,Linux windowing system-related software
KXDocker,KDE software,Linux windowing system-related software
Prototype Verification System,Free software programmed in Lisp,Lisp (programming language)
Symbolics,Lisp software companies,Lisp (programming language)
Lisp Machines,Lisp software companies,Lisp (programming language)
Document Style Semantics and Specification Language,Scheme (programming language),Lisp programming language family
Lisp (programming language),Lisp (programming language),Lisp programming language family
Common Lisp,Lisp (programming language),Lisp programming language family
Common Lisp,Common Lisp,Lisp programming language family
*Lisp,Common Lisp software,Lisp programming language family
Dylan (programming language),Dylan (programming language),Lisp programming language family
XLISP,Scheme (programming language),Lisp programming language family
T (programming language),Scheme (programming language),Lisp programming language family
IronScheme,Scheme (programming language) implementations,Lisp programming language family
Racket (programming language),Scheme (programming language) interpreters,Lisp programming language family
Racket (programming language),Scheme (programming language) implementations,Lisp programming language family
Racket (programming language),R6RS Scheme,Lisp programming language family
Racket (programming language),Scheme (programming language) compilers,Lisp programming language family
ISLISP,Lisp (programming language),Lisp programming language family
Actor-Based Concurrent Language,Common Lisp software,Lisp programming language family
LispWorks,Lisp (programming language),Lisp programming language family
LispWorks,Common Lisp software,Lisp programming language family
LispWorks,Common Lisp implementations,Lisp programming language family
SubL,Common Lisp software,Lisp programming language family
ACL2,Lisp (programming language),Lisp programming language family
ACL2,Common Lisp software,Lisp programming language family
Game Oriented Assembly Lisp,Common Lisp software,Lisp programming language family
Allegro Common Lisp,Common Lisp software,Lisp programming language family
Allegro Common Lisp,Common Lisp implementations,Lisp programming language family
Corman Common Lisp,Lisp (programming language),Lisp programming language family
Corman Common Lisp,Common Lisp software,Lisp programming language family
Corman Common Lisp,Common Lisp implementations,Lisp programming language family
Clozure CL,Common Lisp software,Lisp programming language family
Clozure CL,Common Lisp implementations,Lisp programming language family
Scieneer Common Lisp,Lisp (programming language),Lisp programming language family
Scieneer Common Lisp,Common Lisp software,Lisp programming language family
Scieneer Common Lisp,Common Lisp implementations,Lisp programming language family
EusLisp Robot Programming Language,Lisp (programming language),Lisp programming language family
S-1 Lisp,Lisp (programming language),Lisp programming language family
Le Lisp,Lisp (programming language),Lisp programming language family
OpenLisp,Lisp (programming language),Lisp programming language family
Macsyma,Common Lisp software,Lisp software
Genera (operating system),Common Lisp software,Lisp software
Denotational semantics,Denotational semantics,Logic in computer science
Computation tree logic,Temporal logic,Logic in computer science
CTL*,Temporal logic,Logic in computer science
Functional logic programming,Functional logic programming languages,Logic programming
Ciao (programming language),Functional logic programming languages,Logic programming languages
Oz (programming language),Functional logic programming languages,Logic programming languages
Prolog,Prolog programming language family,Logic programming languages
Visual Prolog,Functional logic programming languages,Logic programming languages
Visual Prolog,Prolog programming language family,Logic programming languages
Mozart Programming System,Functional logic programming languages,Logic programming languages
Absys,Prolog programming language family,Logic programming languages
Algebraic Logic Functional programming language,Functional logic programming languages,Logic programming languages
Alice (programming language),Functional logic programming languages,Logic programming languages
Mercury (programming language),Functional logic programming languages,Logic programming languages
ECLiPSe,Prolog programming language family,Logic programming languages
SWI-Prolog,Prolog programming language family,Logic programming languages
??Prolog,Prolog programming language family,Logic programming languages
Logtalk,Prolog programming language family,Logic programming languages
Prolog++,Prolog programming language family,Logic programming languages
SICStus Prolog,Prolog programming language family,Logic programming languages
Lua (programming language),Lua-scripted video games,Lua (programming language)
Lua (programming language),Lua-scriptable game engines,Lua (programming language)
UltraDefrag,Free software programmed in Lua,Lua-scripted software
Blitzkrieg (video game series),Enigma Engine games,Lua-scripted video games
Heroes of Might and Magic V,Silent Storm engine games,Lua-scripted video games
Silent Storm,Silent Storm engine games,Lua-scripted video games
Blitzkrieg (video game),Enigma Engine games,Lua-scripted video games
OCaml,OCaml software,ML programming language family
MUD,MUD programming languages,MUDs
Docear,Concept- and mind-mapping software programmed in Java,Mac OS software
Medical Reality Markup Language,XML markup languages,Markup languages
Conversation Markup Language,XML markup languages,Markup languages
DXL,Markup language stubs,Markup languages
DXL,XML markup languages,Markup languages
Universal Business Language,XML markup languages,Markup languages
Lightweight markup language,Markup language comparisons,Markup languages
Lightweight markup language,Lightweight markup languages,Markup languages
Extensible Binary Meta Language,Markup language stubs,Markup languages
YAML,Lightweight markup languages,Markup languages
DARPA Agent Markup Language,Knowledge representation languages,Markup languages
Classification Markup Language,Markup language stubs,Markup languages
SGMLguid,Markup language stubs,Markup languages
AAP DTD,Markup language stubs,Markup languages
HTML,HTML,Markup languages
Page description markup language,Page description markup languages,Markup languages
Texinfo,Free TeX software,Markup languages
Comparison of document markup languages,Markup language comparisons,Markup languages
MXP (computing),Markup language stubs,Markup languages
Well-known text,GIS file formats,Markup languages
XHTML+SMIL,HTML,Markup languages
Unstructured Operation Markup Language,Markup language stubs,Markup languages
DAML+OIL,Markup language stubs,Markup languages
DAML+OIL,Knowledge representation languages,Markup languages
FHTML,HTML,Markup languages
Curl (programming language),Lightweight markup languages,Markup languages
Mathematical markup language,Mathematical markup languages,Markup languages
Digital Novel Markup Language,Markup language stubs,Markup languages
People Finder Interchange Format,XML,Markup languages
Music Encoding Initiative,Musical markup languages,Markup languages
Music Encoding Initiative,XML-based standards,Markup languages
Extensible Forms Description Language,XML markup languages,Markup languages
Text Encoding Initiative,Text Encoding Initiative,Markup languages
Text Encoding Initiative,XML-based standards,Markup languages
TimeML,Bibliography file formats,Markup languages
XML,Bibliography file formats,Markup languages
XML,XML,Markup languages
DITA Open Toolkit,XML,Markup languages
DITA Open Toolkit,XML-based standards,Markup languages
Mallard (documentation),Document-centric XML-based standards,Markup languages
Mallard (documentation),XML,Markup languages
Metadata Encoding and Transmission Standard,XML,Markup languages
Darwin Information Typing Architecture,Document-centric XML-based standards,Markup languages
Darwin Information Typing Architecture,XML,Markup languages
Darwin Information Typing Architecture,XML-based standards,Markup languages
HyTime,XML,Markup languages
Office Open XML file formats,Document-centric XML-based standards,Markup languages
Office Open XML file formats,Office Open XML,Markup languages
Office Open XML file formats,XML,Markup languages
Global information management Metrics eXchange,XML,Markup languages
Global information management Metrics eXchange,XML-based standards,Markup languages
ALTO (XML),XML,Markup languages
Arbortext Command Language,XML,Markup languages
Office Open XML,Document-centric XML-based standards,Markup languages
Office Open XML,Office Open XML,Markup languages
Office Open XML,XML,Markup languages
OIOXML,XML,Markup languages
Vector Markup Language,Office Open XML,Markup languages
Vector Markup Language,User interface markup languages,Markup languages
Vector Markup Language,Vector graphics markup languages,Markup languages
Vector Markup Language,XML,Markup languages
Vector Markup Language,XML-based standards,Markup languages
Internationalization Tag Set,XML,Markup languages
Component content management system,XML,Markup languages
Component content management system,XML-based standards,Markup languages
Efficient XML Interchange,XML,Markup languages
CDuce,XML,Markup languages
JSON,Ajax (programming),Markup languages
JSON,JSON,Markup languages
Hypertext Application Language,XML markup languages,Markup languages
Hypertext Application Language,JSON,Markup languages
Hypertext Application Language,XML-based standards,Markup languages
JSON-LD,Resource Description Framework,Markup languages
JSON-LD,JSON,Markup languages
HOCON,JSON,Markup languages
KXML,XML parsers,Markup languages
Observations and Measurements,XML-based standards,Markup languages
Polyglot markup,HTML,Markup languages
Polyglot markup,XML-based standards,Markup languages
Use of Ogg formats in HTML5,HTML,Markup languages
Use of Ogg formats in HTML5,HTML5,Markup languages
Use of Ogg formats in HTML5,XML-based standards,Markup languages
WDDX,XML-based standards,Markup languages
GML application schema,XML-based standards,Markup languages
Speech Application Language Tags,XML-based standards,Markup languages
Speech Synthesis Markup Language,XML-based standards,Markup languages
XOMGL,XML-based standards,Markup languages
HTML5 in mobile devices,HTML,Markup languages
HTML5 in mobile devices,HTML5,Markup languages
HTML5 in mobile devices,XML-based standards,Markup languages
XLink,XML-based standards,Markup languages
OMDoc,XML-based standards,Markup languages
OMDoc,Mathematical markup languages,Markup languages
Open eBook,XML-based standards,Markup languages
Microsoft Office XML formats,XML-based standards,Markup languages
XSLT,XML-based programming languages,Markup languages
XSLT,XML-based standards,Markup languages
Segmentation Rules eXchange,XML markup languages,Markup languages
Segmentation Rules eXchange,XML-based standards,Markup languages
VoiceXML,XML-based programming languages,Markup languages
VoiceXML,XML-based standards,Markup languages
XHTML,HTML,Markup languages
XHTML,XML-based standards,Markup languages
XHTML,XHTML,Markup languages
XSL,XML-based standards,Markup languages
Journal Article Tag Suite,XML-based standards,Markup languages
GPS Exchange Format,XML-based standards,Markup languages
Directory Services Markup Language,Markup language stubs,Markup languages
Directory Services Markup Language,XML-based standards,Markup languages
GuideML,XML-based standards,Markup languages
GeoXACML,Markup language stubs,Markup languages
GeoXACML,XML-based standards,Markup languages
HTML5,HTML,Markup languages
HTML5,HTML5,Markup languages
HTML5,XML-based standards,Markup languages
XBL,XML-based standards,Markup languages
XBL,Declarative markup languages,Markup languages
Emotion Markup Language,XML-based standards,Markup languages
Open Scripture Information Standard,Text Encoding Initiative,Markup languages
Open Scripture Information Standard,XML-based standards,Markup languages
EXSLT,XML-based standards,Markup languages
Extensible Application Markup Language,User interface markup languages,Markup languages
Extensible Application Markup Language,Vector graphics markup languages,Markup languages
Extensible Application Markup Language,XML-based standards,Markup languages
Extensible Application Markup Language,Declarative markup languages,Markup languages
Synchronized Multimedia Integration Language,XML-based programming languages,Markup languages
Synchronized Multimedia Integration Language,XML-based standards,Markup languages
Synchronized Multimedia Integration Language,Declarative markup languages,Markup languages
Synchronized Multimedia Integration Language,Playlist markup languages,Markup languages
MPEG-4 Part 17,XML-based standards,Markup languages
OpenMath,XML-based standards,Markup languages
OpenMath,Mathematical markup languages,Markup languages
XProc,XML-based programming languages,Markup languages
XProc,XML-based standards,Markup languages
Nested Context Language,XML-based standards,Markup languages
DAISY Digital Talking Book,XML-based standards,Markup languages
XDXF,XML-based standards,Markup languages
XSL Formatting Objects,XML-based standards,Markup languages
Enterprise Mashup Markup Language,XML markup languages,Markup languages
Enterprise Mashup Markup Language,User interface markup languages,Markup languages
Enterprise Mashup Markup Language,XML-based standards,Markup languages
XFA,XML-based standards,Markup languages
OAXAL,XML markup languages,Markup languages
OAXAL,XML-based standards,Markup languages
XDuce,XML-based standards,Markup languages
WaterML,XML-based standards,Markup languages
Water Data Transfer Format,XML-based standards,Markup languages
Precision Graphics Markup Language,Vector graphics markup languages,Markup languages
Precision Graphics Markup Language,XML-based standards,Markup languages
FpML,Industry-specific XML-based standards,Markup languages
ONIX for Books,Bibliography file formats,Markup languages
ONIX for Books,Industry-specific XML-based standards,Markup languages
ONIX (publishing protocol),Industry-specific XML-based standards,Markup languages
Chemical Markup Language,Industry-specific XML-based standards,Markup languages
OpenDocument,Document-centric XML-based standards,Markup languages
OpenDocument,OpenOffice,Markup languages
OpenDocument,OpenDocument,Markup languages
DTBook,Document-centric XML-based standards,Markup languages
DocBook,Document-centric XML-based standards,Markup languages
DocBook,DocBook,Markup languages
OpenDocument standardization,Document-centric XML-based standards,Markup languages
OpenDocument standardization,OpenOffice,Markup languages
OpenDocument standardization,OpenDocument,Markup languages
OpenDocument standardization,LibreOffice,Markup languages
Uniform Office Format,Document-centric XML-based standards,Markup languages
Standardization of Office Open XML,Document-centric XML-based standards,Markup languages
Standardization of Office Open XML,Office Open XML,Markup languages
Lpod,OpenDocument,Markup languages
user interface markup language,User interface markup languages,Markup languages
User interface markup language,User interface markup languages,Markup languages
MathML,MathML,Mathematical markup languages
Nemeth Braille,Mathematical markup languages,Mathematical notation
MATLAB,Computer algebra systems,Mathematical software
MATLAB,Computer algebra system software for OS X,Mathematical software
MATLAB,Computer algebra system software for Linux,Mathematical software
MATLAB,Computer algebra system software for Windows,Mathematical software
FORM (symbolic manipulation system),Computer algebra systems,Mathematical software
FORM (symbolic manipulation system),Free computer algebra systems,Mathematical software
Xcas,Computer algebra system software for OS X,Mathematical software
Xcas,Computer algebra system software for Linux,Mathematical software
Xcas,Computer algebra system software for Windows,Mathematical software
Xcas,Free computer algebra systems,Mathematical software
SageMath,Computer algebra system software for OS X,Mathematical software
SageMath,Computer algebra system software for Linux,Mathematical software
SageMath,Computer algebra system software for Windows,Mathematical software
SageMath,Free computer algebra systems,Mathematical software
Analytica (software),Computer algebra systems,Mathematical software
F(g) Scholar,Spreadsheet software,Mathematical software
Mathematica,Computer algebra systems,Mathematical software
Mathematica,Computer algebra system software for OS X,Mathematical software
Mathematica,Computer algebra system software for Linux,Mathematical software
Mathematica,Computer algebra system software for Windows,Mathematical software
Speakeasy (computational environment),Computer algebra systems,Mathematical software
Speakeasy (computational environment),Computer algebra system software for OS X,Mathematical software
Speakeasy (computational environment),Computer algebra system software for Linux,Mathematical software
Speakeasy (computational environment),Computer algebra system software for Windows,Mathematical software
WIRIS,Computer algebra systems,Mathematical software
Erable,Free computer algebra systems,Mathematical software
Actor model theory,Denotational semantics,Mathematics of computing
Adobe Acrobat,PDF readers,Media readers
STDU Viewer,PDF readers,Media readers
COinS,Microformats,Metadata publishing
Visual Basic,Microsoft BASIC,Microsoft development tools
QuickBASIC,Discontinued Microsoft BASICs,Microsoft development tools
Microsoft BASIC,Microsoft BASIC,Microsoft development tools
Docear,Concept- and mind-mapping software programmed in Java,Mind-mapping software
Compendium (software),Concept- and mind-mapping software programmed in Java,Mind-mapping software
CmapTools,Concept- and mind-mapping software programmed in Java,Mind-mapping software
CSS frameworks,Responsive web design,Mobile Web
Responsive web design,Responsive web design,Mobile Web
Mobile device detection,Responsive web design,Mobile Web
JQuery Mobile,Responsive web design,Mobile Web
Gbanga,Java platform games,Mobile games
Empire Earth Mobile,Java platform games,Mobile games
Dangerous Dave in the Haunted Mansion,Java platform games,Mobile games
Worms Golf,Java platform games,Mobile games
SimCity (1989 video game),Java platform games,Mobile games
SimCity (1989 video game),Symbian games,Mobile games
Asphalt: Urban GT 2,Java platform games,Mobile games
Hotel Tycoon Resort,Java platform games,Mobile games
World Series of Poker: Pro Challenge,Java platform games,Mobile games
JezzBall,Java platform games,Mobile games
Sphinx and the Cursed Mummy,Java platform games,Mobile games
Gothic 3: The Beginning,Java platform games,Mobile games
BotFighters,Java platform games,Mobile games
Castlevania: Order of Shadows,Java platform games,Mobile games
Worms: A Space Oddity,Java platform games,Mobile games
Macrospace,Java platform games,Mobile games
Might and Magic Mobile II,Java platform games,Mobile games
Rayman Golf,Java platform games,Mobile games
Asphalt 3: Street Rules,Java platform games,Mobile games
Lemony Snicket's A Series of Unfortunate Events (video game),Java platform games,Mobile games
Space Impact,Java platform games,Mobile games
Bomb Jack,Java platform games,Mobile games
Brothers in Arms: Art of War,Java platform games,Mobile games
Miami Nights: Singles in the City,Java platform games,Mobile games
Ninja Gaiden (NES video game),Java platform games,Mobile games
Medieval Kings Chess II,Java platform games,Mobile games
Bode Miller Alpine Racing,Java platform games,Mobile games
Might and Magic Mobile,Java platform games,Mobile games
NBC Sports Real Golf,Java platform games,Mobile games
Wolfenstein RPG,Java platform games,Mobile games
Saints Row 2 (mobile),Java platform games,Mobile games
Bejeweled Twist,Java platform games,Mobile games
Bejeweled Twist,Symbian games,Mobile games
One: Kagayaku Kisetsu e,Java platform games,Mobile games
FIFA 09,Java platform games,Mobile games
The Elder Scrolls Travels,Java platform games,Mobile games
R-Type,Java platform games,Mobile games
Biniax,Java platform games,Mobile games
Galaxian,Java platform games,Mobile games
Rayman Kart,Java platform games,Mobile games
FIFA 06,Java platform games,Mobile games
Gangstar: Crime City,Java platform games,Mobile games
NBC Sports Figure Skating,Java platform games,Mobile games
Charmed (video game),Java platform games,Mobile games
God of War: Betrayal,Java platform games,Mobile games
Guitar Hero Mobile series,Java platform games,Mobile games
Doom (1993 video game),Symbian games,Mobile games
Ferrari GT: Evolution,Symbian games,Mobile games
Symbian,Symbian OS,Mobile operating systems
Symbian Foundation,Symbian OS,Mobile operating systems
EPOC (operating system),Symbian OS,Mobile operating systems
S60 (software platform),S60 (software platform),Mobile operating systems
Mobile Web Server,Symbian software,Mobile software
Angry Birds (video game),Symbian software,Mobile software
Nokia Point & Find,Symbian software,Mobile software
Sports Tracker,Symbian software,Mobile software
WikiPock,Symbian software,Mobile software
Adaptxt,Symbian software,Mobile software
Instagram,Symbian software,Mobile software
Mobile Speak,Symbian software,Mobile software
Linear temporal logic to B??chi automaton,Temporal logic,Model checking
Temporal logic in finite-state verification,Temporal logic,Model checking
Kripke structure (model checking),Temporal logic,Model checking
Stochastic Petri net,Petri nets,Models of computation
Denotational semantics,Denotational semantics,Models of computation
Unbounded nondeterminism,Process calculi,Models of computation
Unbounded nondeterminism,Denotational semantics,Models of computation
Petri net,Petri nets,Models of computation
Scott information system,Domain theory,Models of computation
Nets within Nets,Petri nets,Models of computation
Vector addition system,Petri nets,Models of computation
Procedural reasoning system,Agent-based programming languages,Multi-agent systems
Procedural reasoning system,Agent-oriented programming languages,Multi-agent systems
AgentSpeak,Agent-based programming languages,Multi-agent systems
AgentSpeak,Agent-oriented programming languages,Multi-agent systems
Jason (multi-agent systems development platform),Agent-based programming languages,Multi-agent systems
Jason (multi-agent systems development platform),Agent-oriented programming languages,Multi-agent systems
GOAL agent programming language,Agent-based programming languages,Multi-agent systems
2APL,Agent-based programming languages,Multi-agent systems
SARL language,Agent-based programming languages,Multi-agent systems
Oz (programming language),Functional logic programming languages,Multi-paradigm programming languages
Visual Prolog,Functional logic programming languages,Multi-paradigm programming languages
Rust (programming language),Rust (programming language),Multi-paradigm programming languages
Leda (programming language),Functional logic programming languages,Multi-paradigm programming languages
Music Encoding Initiative,Musical markup languages,Music notation file formats
MusicXML,Musical markup languages,Music notation file formats
Non-English-based programming languages,Non-English-based programming languages,Natural language and computing
S60 (software platform),S60 (software platform),Nokia platforms
Programming language,Programming languages,Notation
R (programming language),R (programming language),Numerical analysis software for OS X
R (programming language),R (programming language),Numerical analysis software for Windows
Fortran,Fortran programming language family,Numerical programming languages
Fortran,Fortran,Numerical programming languages
Fortress (programming language),Fortran programming language family,Numerical programming languages
FreeMat,Free software programmed in Fortran,Numerical programming languages
Scilab,Free software programmed in Fortran,Numerical programming languages
MATLAB,Numerical programming languages,Numerical software
LabVIEW,Numerical programming languages,Numerical software
ND4S,Numerical programming languages,Numerical software
Gretl,Numerical programming languages,Numerical software
Elmer FEM solver,Free software programmed in Fortran,Numerical software
ARPACK,Fortran libraries,Numerical software
ARPACK,Free software programmed in Fortran,Numerical software
LAPACK,Fortran libraries,Numerical software
LAPACK,Free software programmed in Fortran,Numerical software
MUMPS (software),Free software programmed in Fortran,Numerical software
CERN Program Library,Fortran libraries,Numerical software
CERN Program Library,Free software programmed in Fortran,Numerical software
MINUIT,Fortran software,Numerical software
LINPACK,Fortran libraries,Numerical software
QUADPACK,Fortran libraries,Numerical software
Harwell Subroutine Library,Fortran libraries,Numerical software
PLAPACK,Fortran libraries,Numerical software
MINPACK,Fortran libraries,Numerical software
SLATEC,Fortran libraries,Numerical software
EISPACK,Fortran libraries,Numerical software
Automatically Tuned Linear Algebra Software,Fortran libraries,Numerical software
Analytica (software),Numerical programming languages,Numerical software
Speakeasy (computational environment),Numerical programming languages,Numerical software
Matita,Free software programmed in OCaml,OCaml software
Coq,Free software programmed in OCaml,OCaml software
Marionnet,Free software programmed in OCaml,OCaml software
Ocsigen,Free software programmed in OCaml,OCaml software
Unison (file synchronizer),Free software programmed in OCaml,OCaml software
GODI,Free software programmed in OCaml,OCaml software
GeneWeb,Free software programmed in OCaml,OCaml software
FreeCol,Java platform games,OS X games
MegaMek,Java platform games,OS X games
Exogenesis: Perils of Rebirth,Ren'Py games and visual novels,OS X games
This Is Where I Want To Die,Ren'Py games and visual novels,OS X games
Analogue: A Hate Story,Ren'Py games and visual novels,OS X games
Sleepless Night (visual novel),Ren'Py games and visual novels,OS X games
Everlasting Summer,Ren'Py games and visual novels,OS X games
Date Warp,Ren'Py games and visual novels,OS X games
Magical Diary,Ren'Py games and visual novels,OS X games
The Royal Trap,Ren'Py games and visual novels,OS X games
"Don't Take It Personally, Babe, It Just Ain't Your Story",Ren'Py games and visual novels,OS X games
Digital: A Love Story,Ren'Py games and visual novels,OS X games
Katawa Shoujo,Ren'Py games and visual novels,OS X games
Long Live the Queen (video game),Ren'Py games and visual novels,OS X games
Frozen Bubble,Java platform games,OS X games
Zaz (video game),Java platform games,OS X games
PoxNora,Java platform games,OS X games
Wakfu,Java platform games,OS X games
Puzzle Pirates,Java platform games,OS X games
Minecraft,Java platform games,OS X games
Diamond Crush,Java platform games,OS X games
Bang! Howdy,Java platform games,OS X games
Bejeweled Twist,Java platform games,OS X games
Biniax,Java platform games,OS X games
PeaceMaker,Java platform games,OS X games
JavaScript,Prototype-based programming languages,Object-based programming languages
JavaScript,JavaScript,Object-based programming languages
Google Apps Script,Prototype-based programming languages,Object-based programming languages
Google Apps Script,JavaScript,Object-based programming languages
AmbientTalk,Prototype-based programming languages,Object-based programming languages
ECMAScript,Prototype-based programming languages,Object-based programming languages
ECMAScript,JavaScript programming language family,Object-based programming languages
ECMAScript,JavaScript dialect engines,Object-based programming languages
JScript,Prototype-based programming languages,Object-based programming languages
JScript,JavaScript programming language family,Object-based programming languages
JScript,JavaScript dialect engines,Object-based programming languages
JScript .NET,JavaScript programming language family,Object-based programming languages
TypeScript,JavaScript programming language family,Object-based programming languages
Haxe,OCaml software,Object-based programming languages
Visual Basic,Object-oriented programming languages,Object-based programming languages
Albatross (programming language),Class-based programming languages,Object-oriented programming
Eiffel (programming language),Class-based programming languages,Object-oriented programming
Eiffel (programming language),Object-oriented programming languages,Object-oriented programming
Subject-oriented programming,Eclipse (software),Object-oriented programming
QP (framework),Free software programmed in C++,Object-oriented programming
Comparison of JavaScript-based source code editors,Ajax (programming),Object-oriented programming
Comparison of JavaScript-based source code editors,JavaScript-based HTML editors,Object-oriented programming
Franca IDL,Eclipse (software),Object-oriented programming
VistaSmalltalk,Smalltalk programming language family,Object-oriented programming
VistaSmalltalk,Class-based programming languages,Object-oriented programming
Dominance (C++),C++,Object-oriented programming
Virtual function,C++,Object-oriented programming
Resource Acquisition Is Initialization,C++,Object-oriented programming
Windows Template Library,C++ libraries,Object-oriented programming
Comparison of programming languages (object-oriented programming),Object-oriented programming languages,Object-oriented programming
Universal Network Objects,OpenOffice,Object-oriented programming
Eiffel (programming language),Class-based programming languages,Object-oriented programming languages
Potion (programming language),Smalltalk programming language family,Object-oriented programming languages
Potion (programming language),Class-based programming languages,Object-oriented programming languages
Cecil (programming language),Prototype-based programming languages,Object-oriented programming languages
F-Script (programming language),Smalltalk programming language family,Object-oriented programming languages
F-Script (programming language),Class-based programming languages,Object-oriented programming languages
Bistro (programming language),Smalltalk programming language family,Object-oriented programming languages
Bistro (programming language),Class-based programming languages,Object-oriented programming languages
Lua (programming language),Prototype-based programming languages,Object-oriented programming languages
Ruby (programming language),Class-based programming languages,Object-oriented programming languages
Ruby (programming language),Ruby (programming language),Object-oriented programming languages
PHP,Class-based programming languages,Object-oriented programming languages
Objective-C,Objective-C,Object-oriented programming languages
Objective-C,Class-based programming languages,Object-oriented programming languages
Falcon (programming language),Prototype-based programming languages,Object-oriented programming languages
Falcon (programming language),Class-based programming languages,Object-oriented programming languages
Self (programming language),Prototype-based programming languages,Object-oriented programming languages
J (programming language),Class-based programming languages,Object-oriented programming languages
ActiveVFP,Class-based programming languages,Object-oriented programming languages
Lasso (programming language),Class-based programming languages,Object-oriented programming languages
Neko (programming language),Prototype-based programming languages,Object-oriented programming languages
Cel (programming language),Prototype-based programming languages,Object-oriented programming languages
Smalltalk,Smalltalk programming language family,Object-oriented programming languages
Smalltalk,Class-based programming languages,Object-oriented programming languages
Common Lisp,Class-based programming languages,Object-oriented programming languages
Python for S60,Symbian software,Object-oriented programming languages
Python for S60,S60 (software platform),Object-oriented programming languages
Python for S60,Class-based programming languages,Object-oriented programming languages
Smalltalk YX,Smalltalk programming language family,Object-oriented programming languages
Smalltalk YX,Class-based programming languages,Object-oriented programming languages
Urbiscript,Prototype-based programming languages,Object-oriented programming languages
Python (programming language),Class-based programming languages,Object-oriented programming languages
MacRuby,Ruby (programming language),Object-oriented programming languages
JRuby,Free software programmed in Ruby,Object-oriented programming languages
JRuby,Free software programmed in Java (programming language),Object-oriented programming languages
JRuby,Ruby (programming language),Object-oriented programming languages
RubyMotion,Ruby (programming language),Object-oriented programming languages
Fortran,Fortran programming language family,Object-oriented programming languages
Fortran,Fortran,Object-oriented programming languages
C++,C++,Object-oriented programming languages
C++,C++ programming language family,Object-oriented programming languages
C++,Class-based programming languages,Object-oriented programming languages
COBOL,Class-based programming languages,Object-oriented programming languages
Ioke (programming language),Prototype-based programming languages,Object-oriented programming languages
Objective-J,JavaScript programming language family,Object-oriented programming languages
Dart (programming language),JavaScript programming language family,Object-oriented programming languages
Java (programming language),Java (programming language),Object-oriented programming languages
Java (programming language),Class-based programming languages,Object-oriented programming languages
Java (programming language),Java specification requests,Object-oriented programming languages
AgentSheets,Java (programming language),Object-oriented programming languages
AgentSheets,Class-based programming languages,Object-oriented programming languages
JADE (programming language),Class-based programming languages,Object-oriented programming languages
Visual Prolog,Class-based programming languages,Object-oriented programming languages
Lightweight Java,Java (programming language),Object-oriented programming languages
Lightweight Java,Class-based programming languages,Object-oriented programming languages
Oak (programming language),Java (programming language),Object-oriented programming languages
Oak (programming language),Class-based programming languages,Object-oriented programming languages
Jasmin (software),Java specification requests,Object-oriented programming languages
Groovy (programming language),Java specification requests,Object-oriented programming languages
Morfik FX,Ajax (programming),Object-oriented programming languages
Gambas,Software that uses Qt,Object-oriented programming languages
OCaml,OCaml software,Object-oriented programming languages
Newspeak (programming language),Smalltalk programming language family,Object-oriented programming languages
Nu (programming language),Class-based programming languages,Object-oriented programming languages
D (programming language),Class-based programming languages,Object-oriented programming languages
Boo (programming language),Class-based programming languages,Object-oriented programming languages
Basic For Qt,Software that uses Qt,Object-oriented programming languages
Oxygene (programming language),Class-based programming languages,Object-oriented programming languages
Clascal,Class-based programming languages,Object-oriented programming languages
Active Oberon,Class-based programming languages,Object-oriented programming languages
MetaQuotes Language MQL4/MQL5,C++ programming language family,Object-oriented programming languages
MetaQuotes Language MQL4/MQL5,Class-based programming languages,Object-oriented programming languages
Actor (programming language),Smalltalk programming language family,Object-oriented programming languages
Object REXX,Class-based programming languages,Object-oriented programming languages
Class implementation file,C++,Object-oriented programming languages
Pike (programming language),Class-based programming languages,Object-oriented programming languages
OpenOffice.org XML,OpenOffice,Office document file formats
IBM Docs,Online spreadsheets,Office software
IBM Lotus Symphony,OpenOffice,Office suites for Linux
StarOffice,OpenOffice,Office suites for Linux
"Google Docs, Sheets, and Slides",Online spreadsheets,Online office suites
online office suite,Online spreadsheets,Online office suites
Online office suite,Online spreadsheets,Online office suites
IWork,Online spreadsheets,Online office suites
Office Online,Online spreadsheets,Online office suites
ShowDocument,Online spreadsheets,Online office suites
IBM Docs,Online spreadsheets,Online office suites
Metaclass (Semantic Web),Web Ontology Language,Ontology languages
Web Ontology Language,Web Ontology Language,Ontology languages
KDE Education Project,KDE Education Project,Open content projects
Calligra Suite,Calligra Suite,Open-source office suites
LibreOffice,OpenOffice,Open-source office suites
LibreOffice,LibreOffice,Open-source office suites
Apache OpenOffice,OpenOffice,Open-source office suites
OpenOffice.org,OpenOffice,Open-source office suites
Go-oo,OpenOffice,Open-source office suites
NeoOffice,OpenOffice,Open-source office suites
GNOME Chess,GNOME Games,Open-source video games
GNOME Games,GNOME Games,Open-source video games
OpenDocument,OpenOffice,OpenDocument
OpenDocument standardization,OpenOffice,OpenDocument
OpenDocument standardization,LibreOffice,OpenDocument
OpenDocument adoption,OpenOffice,OpenDocument
OpenDocument adoption,LibreOffice,OpenDocument
